European Union - 27 countries (from 2020),1995,0,3,,
European Union - 27 countries (from 2020),1996,0,3,,
European Union - 27 countries (from 2020),1997,0,3,,
European Union - 27 countries (from 2020),1998,0,3,,
European Union - 27 countries (from 2020),1999,0,3,,
European Union - 27 countries (from 2020),2000,0,3,,
European Union - 27 countries (from 2020),2001,0,3,,
European Union - 27 countries (from 2020),2002,0,3,13.4,
European Union - 27 countries (from 2020),2003,0,3,13.7,
European Union - 27 countries (from 2020),2004,0,3,14.4,
European Union - 27 countries (from 2020),2005,0,3,15.4,b
European Union - 27 countries (from 2020),2006,0,3,15.9,
European Union - 27 countries (from 2020),2007,0,3,16,
European Union - 27 countries (from 2020),2008,0,3,15.5,
European Union - 27 countries (from 2020),2009,0,3,14.8,
European Union - 27 countries (from 2020),2010,0,3,15.2,
European Union - 27 countries (from 2020),2011,0,3,15.3,
European Union - 27 countries (from 2020),2012,0,3,14.9,
European Union - 27 countries (from 2020),2013,0,3,14.8,
European Union - 27 countries (from 2020),2014,0,3,15.2,
European Union - 27 countries (from 2020),2015,0,3,15.4,
European Union - 27 countries (from 2020),2016,0,3,15.6,
European Union - 27 countries (from 2020),2017,0,3,15.7,
European Union - 27 countries (from 2020),2018,0,3,15.5,
European Union - 28 countries (2013-2020),1995,0,3,,
European Union - 28 countries (2013-2020),1996,0,3,,
European Union - 28 countries (2013-2020),1997,0,3,,
European Union - 28 countries (2013-2020),1998,0,3,,
European Union - 28 countries (2013-2020),1999,0,3,,
European Union - 28 countries (2013-2020),2000,0,3,,
European Union - 28 countries (2013-2020),2001,0,3,,
European Union - 28 countries (2013-2020),2002,0,3,12.4,
European Union - 28 countries (2013-2020),2003,0,3,12.6,
European Union - 28 countries (2013-2020),2004,0,3,13.2,
European Union - 28 countries (2013-2020),2005,0,3,14,b
European Union - 28 countries (2013-2020),2006,0,3,14.5,
European Union - 28 countries (2013-2020),2007,0,3,14.6,
European Union - 28 countries (2013-2020),2008,0,3,14.1,
European Union - 28 countries (2013-2020),2009,0,3,13.6,
European Union - 28 countries (2013-2020),2010,0,3,13.9,
European Union - 28 countries (2013-2020),2011,0,3,14,
European Union - 28 countries (2013-2020),2012,0,3,13.7,
European Union - 28 countries (2013-2020),2013,0,3,13.6,
European Union - 28 countries (2013-2020),2014,0,3,13.9,
European Union - 28 countries (2013-2020),2015,0,3,14.1,
European Union - 28 countries (2013-2020),2016,0,3,14.2,
European Union - 28 countries (2013-2020),2017,0,3,14.3,
European Union - 28 countries (2013-2020),2018,0,3,14.1,
European Union - 15 countries (1995-2004),1995,0,3,11.5,
European Union - 15 countries (1995-2004),1996,0,3,11.8,
European Union - 15 countries (1995-2004),1997,0,3,12.2,
European Union - 15 countries (1995-2004),1998,0,3,12.8,
European Union - 15 countries (1995-2004),1999,0,3,13.3,
European Union - 15 countries (1995-2004),2000,0,3,13.6,
European Union - 15 countries (1995-2004),2001,0,3,13.5,
