Austria,1995,,
Austria,1996,2.0,
Austria,1997,1.4,
Austria,1998,2.5,
Austria,1999,2.0,
Austria,2000,2.4,
Austria,2001,0.5,
Austria,2002,1.7,
Austria,2003,0.3,
Austria,2004,2.1,
Austria,2005,1.0,
Austria,2006,1.7,
Austria,2007,1.9,
Austria,2008,-0.4,
Austria,2009,-3.3,
Austria,2010,1.1,
Austria,2011,1.3,
Austria,2012,-0.4,
Austria,2013,-0.3,
Austria,2014,-0.3,
Austria,2015,0.4,
Austria,2016,0.8,
Austria,2017,0.8,
Austria,2018,0.7,
Austria,2019,0.4,
Belgium,1995,,
Belgium,1996,1.1,
Belgium,1997,3.1,
Belgium,1998,0.2,
Belgium,1999,2.1,
Belgium,2000,1.7,
Belgium,2001,-0.3,
Belgium,2002,1.5,
Belgium,2003,1.1,
Belgium,2004,2.6,
Belgium,2005,0.9,
Belgium,2006,1.4,
Belgium,2007,2.0,
Belgium,2008,-1.3,
Belgium,2009,-1.9,
Belgium,2010,2.2,
Belgium,2011,0.4,
Belgium,2012,0.3,
Belgium,2013,0.8,
Belgium,2014,1.2,
Belgium,2015,1.1,
Belgium,2016,0.3,
Belgium,2017,0.3,
Belgium,2018,0.1,
Belgium,2019,-0.2,
Bulgaria,1995,,
Bulgaria,1996,2.3,
Bulgaria,1997,-11.5,
Bulgaria,1998,5.4,
Bulgaria,1999,-4.1,
Bulgaria,2000,7.3,
Bulgaria,2001,4.6,
Bulgaria,2002,5.7,
Bulgaria,2003,2.1,
Bulgaria,2004,3.8,
Bulgaria,2005,4.3,
Bulgaria,2006,3.3,
Bulgaria,2007,3.3,
Bulgaria,2008,3.6,
Bulgaria,2009,-1.7,
Bulgaria,2010,4.6,
Bulgaria,2011,4.7,
Bulgaria,2012,2.9,p
Bulgaria,2013,0.8,p
Bulgaria,2014,1.5,p
Bulgaria,2015,3.6,p
Bulgaria,2016,3.3,p
Bulgaria,2017,1.7,p
Bulgaria,2018,3.2,p
Bulgaria,2019,3.0,p
Cyprus,1995,,
Cyprus,1996,0.7,
Cyprus,1997,2.0,
Cyprus,1998,4.5,
Cyprus,1999,3.1,
Cyprus,2000,4.2,
Cyprus,2001,1.8,
Cyprus,2002,1.6,
Cyprus,2003,-0.9,
Cyprus,2004,1.0,
Cyprus,2005,1.2,
Cyprus,2006,2.8,
Cyprus,2007,0.6,
Cyprus,2008,0.1,
Cyprus,2009,-2.0,
Cyprus,2010,1.4,
Cyprus,2011,0.1,
Cyprus,2012,0.1,
Cyprus,2013,-1.0,
Cyprus,2014,0.1,
Cyprus,2015,1.8,
Cyprus,2016,2.0,
Cyprus,2017,-0.9,
Cyprus,2018,0.0,p
Cyprus,2019,0.1,p
Czechia,1995,,
Czechia,1996,3.7,
Czechia,1997,0.1,
Czechia,1998,1.4,
Czechia,1999,3.7,
Czechia,2000,5.1,
Czechia,2001,3.2,
Czechia,2002,1.0,
Czechia,2003,4.4,
Czechia,2004,5.1,
Czechia,2005,4.5,
Czechia,2006,5.4,
Czechia,2007,3.4,
Czechia,2008,0.5,
Czechia,2009,-3.1,
Czechia,2010,3.3,
Czechia,2011,2.1,
Czechia,2012,-1.2,
Czechia,2013,-0.8,
Czechia,2014,2.2,
Czechia,2015,3.8,
Czechia,2016,0.8,
Czechia,2017,2.8,
Czechia,2018,1.5,
Czechia,2019,1.8,
Germany,1995,1.1,
Germany,1996,0.8,
Germany,1997,1.8,
Germany,1998,0.8,
Germany,1999,0.3,
Germany,2000,0.7,
Germany,2001,2.0,
Germany,2002,0.3,
Germany,2003,0.4,
Germany,2004,0.9,
Germany,2005,0.9,
Germany,2006,3.1,
Germany,2007,1.3,
Germany,2008,-0.4,
Germany,2009,-5.8,
Germany,2010,3.8,
Germany,2011,2.7,
Germany,2012,-0.7,
Germany,2013,-0.4,
Germany,2014,1.3,
Germany,2015,0.8,
Germany,2016,1.0,
Germany,2017,1.1,
Germany,2018,0.2,
Germany,2019,-0.3,
Denmark,1995,2.4,
Denmark,1996,1.9,
Denmark,1997,1.9,
Denmark,1998,0.8,
Denmark,1999,2.1,
Denmark,2000,3.0,
Denmark,2001,-0.2,
Denmark,2002,0.4,
Denmark,2003,1.3,
Denmark,2004,3.2,
Denmark,2005,0.9,
Denmark,2006,1.6,
Denmark,2007,-1.4,
Denmark,2008,-1.7,
Denmark,2009,-1.8,
