European Union - 27 countries (from 2020),2009,0,15,19,14.7
European Union - 27 countries (from 2020),2010,0,15,19,13.9
European Union - 27 countries (from 2020),2011,0,15,19,13.5
European Union - 27 countries (from 2020),2012,0,15,19,12.9
European Union - 27 countries (from 2020),2013,0,15,19,12.8
European Union - 27 countries (from 2020),2014,0,15,19,12.7
European Union - 27 countries (from 2020),2015,0,15,19,12.8
European Union - 27 countries (from 2020),2016,0,15,19,13.5
European Union - 27 countries (from 2020),2017,0,15,19,14.0
European Union - 27 countries (from 2020),2018,0,15,19,14.5
European Union - 28 countries (2013-2020),2009,0,15,19,16.8
European Union - 28 countries (2013-2020),2010,0,15,19,15.9
European Union - 28 countries (2013-2020),2011,0,15,19,15.4
European Union - 28 countries (2013-2020),2012,0,15,19,14.9
European Union - 28 countries (2013-2020),2013,0,15,19,14.7
European Union - 28 countries (2013-2020),2014,0,15,19,14.7
European Union - 28 countries (2013-2020),2015,0,15,19,15.1
European Union - 28 countries (2013-2020),2016,0,15,19,15.6
European Union - 28 countries (2013-2020),2017,0,15,19,16.0
European Union - 28 countries (2013-2020),2018,0,15,19,16.4
European Union - 15 countries (1995-2004),2009,0,15,19,20.2
European Union - 15 countries (1995-2004),2010,0,15,19,19.0
European Union - 15 countries (1995-2004),2011,0,15,19,18.3
European Union - 15 countries (1995-2004),2012,0,15,19,17.7
European Union - 15 countries (1995-2004),2013,0,15,19,17.4
European Union - 15 countries (1995-2004),2014,0,15,19,17.2
European Union - 15 countries (1995-2004),2015,0,15,19,17.4
European Union - 15 countries (1995-2004),2016,0,15,19,18.0
European Union - 15 countries (1995-2004),2017,0,15,19,18.4
European Union - 15 countries (1995-2004),2018,0,15,19,18.8
Euro area - 19 countries  (from 2015),2009,0,15,19,16.6
Euro area - 19 countries  (from 2015),2010,0,15,19,15.6
Euro area - 19 countries  (from 2015),2011,0,15,19,15.2
Euro area - 19 countries  (from 2015),2012,0,15,19,14.4
Euro area - 19 countries  (from 2015),2013,0,15,19,14.3
Euro area - 19 countries  (from 2015),2014,0,15,19,13.9
Euro area - 19 countries  (from 2015),2015,0,15,19,13.9
Euro area - 19 countries  (from 2015),2016,0,15,19,14.6
Euro area - 19 countries  (from 2015),2017,0,15,19,15.2
Euro area - 19 countries  (from 2015),2018,0,15,19,15.7
Belgium,2009,0,15,19,6.8
Belgium,2010,0,15,19,5.9
Belgium,2011,0,15,19,6.8
Belgium,2012,0,15,19,6.0
Belgium,2013,0,15,19,4.9
Belgium,2014,0,15,19,4.9
Belgium,2015,0,15,19,4.9
Belgium,2016,0,15,19,5.2
Belgium,2017,0,15,19,6.0
Belgium,2018,0,15,19,8.6
Bulgaria,2009,0,15,19,5.2
Bulgaria,2010,0,15,19,3.5
Bulgaria,2011,0,15,19,2.7
Bulgaria,2012,0,15,19,3.7
Bulgaria,2013,0,15,19,3.0
Bulgaria,2014,0,15,19,3.5
Bulgaria,2015,0,15,19,3.3
Bulgaria,2016,0,15,19,3.7
Bulgaria,2017,0,15,19,4.9
Bulgaria,2018,0,15,19,4.6
Czechia,2009,0,15,19,5.2
Czechia,2010,0,15,19,4.2
Czechia,2011,0,15,19,3.9
Czechia,2012,0,15,19,3.6
Czechia,2013,0,15,19,3.4
Czechia,2014,0,15,19,4.6
Czechia,2015,0,15,19,4.5
Czechia,2016,0,15,19,4.6
Czechia,2017,0,15,19,5.0
Czechia,2018,0,15,19,4.8
Denmark,2009,0,15,19,48.4
Denmark,2010,0,15,19,43.0
Denmark,2011,0,15,19,41.6
Denmark,2012,0,15,19,40.5
Denmark,2013,0,15,19,37.3
Denmark,2014,0,15,19,37.3
Denmark,2015,0,15,19,39.0
Denmark,2016,0,15,19,41.0
Denmark,2017,0,15,19,40.5
Denmark,2018,0,15,19,41.0
Germany (until 1990 former territory of the FRG),2009,0,15,19,27.6
Germany (until 1990 former territory of the FRG),2010,0,15,19,26.9
Germany (until 1990 former territory of the FRG),2011,0,15,19,27.4
Germany (until 1990 former territory of the FRG),2012,0,15,19,26.0
Germany (until 1990 former territory of the FRG),2013,0,15,19,26.7
Germany (until 1990 former territory of the FRG),2014,0,15,19,26.0
Germany (until 1990 former territory of the FRG),2015,0,15,19,25.5
Germany (until 1990 former territory of the FRG),2016,0,15,19,26.7
Germany (until 1990 former territory of the FRG),2017,0,15,19,26.9
Germany (until 1990 former territory of the FRG),2018,0,15,19,26.9
Estonia,2009,0,15,19,5.6
Estonia,2010,0,15,19,3.8
Estonia,2011,0,15,19,6.5
Estonia,2012,0,15,19,7.6
Estonia,2013,0,15,19,6.5
Estonia,2014,0,15,19,7.0
Estonia,2015,0,15,19,9.8
Estonia,2016,0,15,19,11.2
Estonia,2017,0,15,19,12.6
Estonia,2018,0,15,19,13.2
Ireland,2009,0,15,19,22.2
Ireland,2010,0,15,19,17.0
Ireland,2011,0,15,19,15.2
Ireland,2012,0,15,19,15.2
